Community Area,Counts,Year
25,24230,2010
43,12289,2010
23,11802,2010
8,11546,2010
24,11321,2010
67,11195,2010
29,10816,2010
71,10640,2010
66,10495,2010
49,10345,2010
68,10138,2010
28,9774,2010
69,9339,2010
22,8134,2010
32,7827,2010
61,7726,2010
19,7553,2010
44,7497,2010
6,7442,2010
27,6946,2010
46,6762,2010
42,6475,2010
26,6361,2010
30,6270,2010
53,5958,2010
7,5781,2010
1,5560,2010
3,5053,2010
2,4874,2010
38,4658,2010
15,4629,2010
73,4535,2010
16,4515,2010
40,4044,2010
63,3937,2010
21,3734,2010
77,3660,2010
14,3541,2010
58,3517,2010
31,3486,2010
70,3464,2010
75,3146,2010
35,2929,2010
65,2764,2010
51,2618,2010
56,2577,2010
4,2559,2010
60,2438,2010
20,2407,2010
17,2343,2010
39,2290,2010
41,2232,2010
48,2090,2010
5,2054,2010
33,1990,2010
76,1872,2010
52,1847,2010
45,1828,2010
59,1481,2010
10,1439,2010
54,1394,2010
62,1393,2010
64,1392,2010
11,1392,2010
50,1368,2010
34,1360,2010
57,1352,2010
72,1282,2010
37,1212,2010
13,1185,2010
74,913,2010
18,893,2010
36,858,2010
55,760,2010
12,694,2010
47,458,2010
9,302,2010
25,22625,2011
43,12048,2011
8,11147,2011
23,11126,2011
67,10803,2011
71,10224,2011
24,10097,2011
29,9978,2011
66,9931,2011
49,9880,2011
28,9639,2011
68,9292,2011
69,8900,2011
61,7711,2011
32,7572,2011
6,7484,2011
22,7290,2011
44,7271,2011
19,6849,2011
46,6750,2011
27,6395,2011
26,6259,2011
30,5999,2011
53,5888,2011
42,5688,2011
7,5249,2011
1,5095,2011
3,4754,2011
38,4718,2011
2,4406,2011
15,4372,2011
16,4289,2011
73,4141,2011
40,3995,2011
63,3729,2011
58,3695,2011
31,3428,2011
21,3359,2011
77,3326,2011
70,3125,2011
14,3075,2011
75,2899,2011
35,2692,2011
65,2669,2011
56,2545,2011
51,2497,2011
60,2321,2011
4,2307,2011
48,2212,2011
41,2147,2011
17,2147,2011
39,2065,2011
20,2054,2011
45,1953,2011
5,1937,2011
76,1918,2011
52,1862,2011
33,1758,2011
54,1526,2011
62,1479,2011
34,1440,2011
10,1435,2011
59,1425,2011
64,1335,2011
11,1294,2011
57,1278,2011
72,1229,2011
50,1189,2011
37,1183,2011
13,1114,2011
18,849,2011
55,821,2011
36,790,2011
74,724,2011
12,600,2011
47,455,2011
9,365,2011
25,21277,2012
43,11568,2012
8,11227,2012
23,11171,2012
29,10350,2012
67,9953,2012
24,9633,2012
71,9389,2012
28,9363,2012
68,9061,2012
49,8988,2012
69,8701,2012
66,8554,2012
32,7720,2012
6,7636,2012
44,7205,2012
61,6793,2012
22,6750,2012
26,6661,2012
46,6520,2012
19,6337,2012
27,6168,2012
30,5757,2012
53,5732,2012
42,5377,2012
7,4956,2012
3,4951,2012
1,4910,2012
15,4143,2012
38,4096,2012
2,4018,2012
73,3952,2012
16,3920,2012
40,3456,2012
31,3278,2012
21,3263,2012
77,3259,2012
63,3229,2012
58,3181,2012
14,2928,2012
70,2807,2012
35,2758,2012
75,2703,2012
56,2453,2012
65,2437,2012
4,2320,2012
51,2283,2012
60,2158,2012
20,2043,2012
17,1920,2012
5,1911,2012
48,1911,2012
41,1911,2012
33,1857,2012
76,1824,2012
45,1800,2012
39,1786,2012
52,1739,2012
54,1574,2012
34,1527,2012
10,1457,2012
11,1403,2012
62,1364,2012
59,1338,2012
64,1275,2012
50,1251,2012
37,1220,2012
72,1194,2012
57,1193,2012
13,1081,2012
18,777,2012
36,771,2012
55,738,2012
74,703,2012
12,598,2012
47,533,2012
9,320,2012
25,20157,2013
43,10535,2013
23,10224,2013
8,10062,2013
29,9754,2013
67,8993,2013
71,8533,2013
28,8468,2013
24,8173,2013
68,8172,2013
49,8127,2013
32,7748,2013
69,7697,2013
66,7277,2013
44,7130,2013
6,6799,2013
26,6656,2013
27,6250,2013
61,5975,2013
22,5837,2013
46,5805,2013
19,5693,2013
53,5133,2013
30,5091,2013
42,4726,2013
7,4466,2013
1,4416,2013
3,4266,2013
38,3984,2013
15,3955,2013
73,3884,2013
2,3797,2013
16,3483,2013
40,3362,2013
31,3063,2013
58,2887,2013
63,2819,2013
70,2806,2013
35,2780,2013
77,2703,2013
14,2682,2013
21,2662,2013
75,2477,2013
65,2240,2013
4,2212,2013
51,2182,2013
76,2123,2013
56,2098,2013
20,1962,2013
60,1889,2013
17,1825,2013
33,1805,2013
5,1711,2013
41,1659,2013
45,1635,2013
48,1609,2013
39,1589,2013
52,1494,2013
54,1487,2013
11,1331,2013
34,1291,2013
62,1288,2013
59,1274,2013
10,1224,2013
57,1198,2013
50,1145,2013
64,1113,2013
37,1071,2013
72,1018,2013
13,909,2013
55,713,2013
36,709,2013
18,632,2013
74,622,2013
47,470,2013
12,442,2013
9,297,2013
25,18632,2014
43,9214,2014
23,9147,2014
8,8909,2014
29,8618,2014
71,7935,2014
28,7831,2014
67,7572,2014
49,7331,2014
24,7296,2014
32,7229,2014
68,7071,2014
69,6695,2014
66,6441,2014
44,6237,2014
26,6168,2014
27,5757,2014
6,5648,2014
61,5236,2014
46,5210,2014
22,5056,2014
19,4933,2014
30,4731,2014
53,4331,2014
42,4148,2014
7,4054,2014
3,3780,2014
1,3770,2014
38,3480,2014
2,3385,2014
15,3364,2014
73,3176,2014
40,2913,2014
58,2892,2014
16,2820,2014
31,2688,2014
63,2619,2014
35,2544,2014
70,2541,2014
14,2380,2014
21,2353,2014
77,2304,2014
51,2248,2014
75,2128,2014
65,2086,2014
76,1999,2014
56,1916,2014
4,1885,2014
60,1795,2014
20,1775,2014
33,1758,2014
48,1575,2014
17,1556,2014
5,1527,2014
45,1483,2014
39,1477,2014
41,1406,2014
52,1381,2014
54,1377,2014
10,1245,2014
11,1225,2014
34,1221,2014
50,1208,2014
59,1051,2014
57,1046,2014
62,1010,2014
64,995,2014
37,926,2014
72,896,2014
13,868,2014
74,665,2014
36,634,2014
55,623,2014
18,518,2014
12,455,2014
47,400,2014
9,242,2014
25,16950,2015
43,8881,2015
8,8850,2015
29,8014,2015
23,7974,2015
28,7750,2015
71,7711,2015
32,7440,2015
67,7151,2015
68,6966,2015
24,6912,2015
69,6643,2015
49,6522,2015
66,6068,2015
44,5926,2015
26,5766,2015
6,5450,2015
27,5245,2015
46,4993,2015
61,4829,2015
19,4753,2015
22,4703,2015
30,4377,2015
53,3935,2015
7,3689,2015
42,3643,2015
3,3556,2015
1,3500,2015
15,3382,2015
73,3097,2015
38,3058,2015
2,3049,2015
16,2949,2015
40,2708,2015
58,2696,2015
14,2494,2015
31,2472,2015
35,2463,2015
63,2322,2015
70,2270,2015
21,2214,2015
77,2196,2015
75,2044,2015
65,2018,2015
51,1891,2015
33,1835,2015
56,1775,2015
4,1735,2015
20,1700,2015
17,1616,2015
76,1588,2015
60,1587,2015
41,1482,2015
48,1451,2015
5,1366,2015
45,1353,2015
39,1328,2015
52,1301,2015
10,1248,2015
54,1162,2015
11,1135,2015
59,1061,2015
34,1053,2015
50,1033,2015
62,1028,2015
57,980,2015
72,968,2015
64,921,2015
37,828,2015
13,826,2015
36,611,2015
74,602,2015
18,570,2015
55,502,2015
12,440,2015
47,380,2015
9,252,2015
25,16604,2016
8,10315,2016
28,9322,2016
32,8838,2016
29,8736,2016
43,8112,2016
24,8076,2016
23,7967,2016
71,7543,2016
67,6965,2016
49,6824,2016
69,6555,2016
68,6233,2016
44,6202,2016
6,5936,2016
66,5792,2016
26,5749,2016
22,5369,2016
27,4998,2016
61,4899,2016
46,4759,2016
19,4727,2016
30,4663,2016
7,4133,2016
53,3861,2016
1,3632,2016
42,3586,2016
3,3509,2016
38,3266,2016
2,3244,2016
15,3218,2016
73,3182,2016
16,2951,2016
70,2698,2016
40,2680,2016
58,2622,2016
31,2592,2016
35,2569,2016
14,2388,2016
63,2340,2016
77,2328,2016
21,2255,2016
65,2122,2016
56,2093,2016
75,1973,2016
4,1955,2016
33,1900,2016
51,1874,2016
41,1735,2016
17,1734,2016
76,1724,2016
60,1673,2016
20,1539,2016
48,1402,2016
39,1390,2016
5,1366,2016
52,1324,2016
10,1304,2016
45,1302,2016
54,1262,2016
50,1200,2016
62,1092,2016
11,1066,2016
59,1030,2016
34,1002,2016
72,975,2016
13,965,2016
64,961,2016
37,927,2016
57,875,2016
36,683,2016
18,667,2016
74,600,2016
55,581,2016
12,561,2016
47,397,2016
9,302,2016
25,15227,2017
8,12012,2017
32,10421,2017
29,8947,2017
28,8875,2017
43,8555,2017
24,8159,2017
23,7976,2017
71,7424,2017
67,6886,2017
49,6869,2017
69,6397,2017
44,6323,2017
68,5879,2017
66,5682,2017
6,5580,2017
26,5313,2017
22,4941,2017
27,4694,2017
61,4597,2017
19,4531,2017
46,4512,2017
30,4477,2017
7,4363,2017
1,4064,2017
53,3947,2017
42,3792,2017
2,3530,2017
3,3461,2017
38,3373,2017
15,3311,2017
73,3043,2017
16,2957,2017
40,2694,2017
31,2586,2017
35,2570,2017
77,2564,2017
70,2458,2017
14,2428,2017
21,2305,2017
63,2271,2017
58,2189,2017
75,2079,2017
4,1943,2017
56,1896,2017
33,1871,2017
65,1851,2017
51,1740,2017
41,1677,2017
76,1631,2017
39,1497,2017
20,1493,2017
17,1485,2017
60,1474,2017
5,1369,2017
48,1342,2017
54,1339,2017
45,1268,2017
52,1200,2017
50,1081,2017
10,1069,2017
59,1036,2017
11,1027,2017
34,1006,2017
62,1004,2017
13,948,2017
64,876,2017
37,871,2017
72,868,2017
57,834,2017
36,669,2017
55,662,2017
18,605,2017
74,578,2017
12,532,2017
47,363,2017
9,263,2017
25,14636,2019
8,12373,2019
32,10381,2019
28,9230,2019
29,8923,2019
43,8597,2019
23,7957,2019
71,7546,2019
24,7106,2019
44,6745,2019
69,6699,2019
67,6592,2019
49,6480,2019
26,6197,2019
68,6002,2019
6,5844,2019
66,5490,2019
22,4802,2019
27,4639,2019
30,4415,2019
19,4327,2019
61,4231,2019
46,4231,2019
7,4196,2019
1,3984,2019
53,3822,2019
42,3520,2019
2,3414,2019
38,3339,2019
3,3278,2019
73,3186,2019
15,2863,2019
35,2698,2019
16,2498,2019
77,2452,2019
40,2323,2019
31,2316,2019
70,2313,2019
58,2210,2019
14,2189,2019
63,2145,2019
21,2103,2019
75,1854,2019
56,1841,2019
51,1833,2019
33,1815,2019
4,1754,2019
41,1682,2019
65,1678,2019
76,1649,2019
60,1435,2019
48,1408,2019
54,1387,2019
39,1358,2019
17,1330,2019
20,1290,2019
45,1279,2019
5,1234,2019
50,1156,2019
10,1130,2019
34,1014,2019
52,998,2019
11,959,2019
64,929,2019
72,908,2019
37,900,2019
62,897,2019
59,823,2019
57,801,2019
13,788,2019
36,625,2019
18,548,2019
55,492,2019
74,464,2019
12,449,2019
47,371,2019
9,264,2019
25,14898,2018
8,12758,2018
32,10619,2018
29,9204,2018
28,9198,2018
43,8539,2018
23,7951,2018
71,7272,2018
24,7116,2018
67,7010,2018
49,6818,2018
44,6431,2018
69,6280,2018
68,6159,2018
6,5770,2018
66,5621,2018
26,5611,2018
7,4889,2018
27,4864,2018
22,4789,2018
30,4497,2018
19,4311,2018
46,4266,2018
61,4172,2018
53,4001,2018
1,3737,2018
3,3558,2018
2,3466,2018
42,3430,2018
38,3177,2018
15,3148,2018
73,3130,2018
16,2781,2018
40,2774,2018
77,2707,2018
35,2662,2018
14,2374,2018
70,2363,2018
31,2342,2018
21,2295,2018
58,2155,2018
75,2098,2018
56,2055,2018
63,2046,2018
41,1911,2018
4,1898,2018
33,1779,2018
65,1760,2018
51,1727,2018
76,1569,2018
60,1485,2018
17,1481,2018
39,1428,2018
20,1384,2018
48,1361,2018
54,1339,2018
5,1283,2018
50,1191,2018
10,1145,2018
45,1136,2018
52,1086,2018
11,1076,2018
62,1006,2018
34,991,2018
13,983,2018
64,941,2018
59,896,2018
72,886,2018
37,828,2018
57,813,2018
36,633,2018
55,613,2018
18,590,2018
74,552,2018
12,483,2018
47,379,2018
9,246,2018
25,12568,2020
43,7708,2020
8,7064,2020
29,7029,2020
23,6539,2020
28,6318,2020
71,6138,2020
49,5885,2020
69,5875,2020
67,5628,2020
44,5371,2020
68,5098,2020
24,5069,2020
32,4964,2020
26,4908,2020
66,4822,2020
6,4074,2020
53,3800,2020
19,3719,2020
27,3690,2020
22,3630,2020
30,3544,2020
61,3532,2020
46,3335,2020
1,3177,2020
2,3024,2020
38,2873,2020
42,2869,2020
3,2836,2020
7,2718,2020
73,2611,2020
15,2557,2020
77,2223,2020
35,2135,2020
16,2121,2020
31,1984,2020
14,1972,2020
40,1929,2020
70,1854,2020
4,1809,2020
21,1770,2020
58,1756,2020
63,1707,2020
75,1653,2020
51,1614,2020
33,1539,2020
56,1515,2020
41,1405,2020
17,1320,2020
60,1253,2020
48,1247,2020
65,1238,2020
45,1185,2020
39,1175,2020
20,1163,2020
76,1129,2020
5,1094,2020
54,1057,2020
10,985,2020
11,969,2020
52,936,2020
50,909,2020
34,835,2020
64,833,2020
72,827,2020
13,751,2020
59,731,2020
62,715,2020
37,672,2020
57,672,2020
36,606,2020
18,553,2020
12,533,2020
74,500,2020
55,496,2020
47,337,2020
9,243,2020
25,11366,2021
8,8027,2021
43,7281,2021
28,6676,2021
29,6183,2021
71,5895,2021
23,5770,2021
69,5554,2021
24,5420,2021
32,5311,2021
49,5261,2021
44,5256,2021
67,4858,2021
68,4642,2021
66,4541,2021
6,4538,2021
26,4063,2021
46,3613,2021
19,3558,2021
27,3541,2021
61,3478,2021
22,3477,2021
53,3472,2021
1,3275,2021
30,3239,2021
3,3067,2021
2,2909,2021
7,2820,2021
42,2790,2021
38,2716,2021
73,2488,2021
15,2470,2021
77,2359,2021
35,2217,2021
16,2173,2021
31,2152,2021
40,1906,2021
14,1805,2021
58,1759,2021
70,1754,2021
33,1733,2021
75,1706,2021
63,1646,2021
41,1638,2021
4,1632,2021
21,1544,2021
56,1522,2021
17,1478,2021
51,1430,2021
76,1381,2021
48,1297,2021
39,1281,2021
20,1243,2021
60,1234,2021
65,1231,2021
10,1151,2021
54,1105,2021
45,1104,2021
52,988,2021
5,971,2021
64,915,2021
50,907,2021
34,901,2021
11,815,2021
72,771,2021
59,697,2021
62,689,2021
13,681,2021
57,661,2021
55,598,2021
36,575,2021
37,539,2021
18,502,2021
74,487,2021
12,453,2021
47,323,2021
9,233,2021
25,11435,2022
8,9628,2022
28,8624,2022
43,7723,2022
32,7278,2022
24,6578,2022
29,6141,2022
71,5815,2022
44,5615,2022
23,5604,2022
69,5534,2022
49,5532,2022
6,5279,2022
66,4483,2022
67,4444,2022
68,4360,2022
46,4037,2022
19,3733,2022
1,3711,2022
22,3657,2022
2,3620,2022
26,3571,2022
30,3533,2022
61,3529,2022
3,3514,2022
27,3455,2022
7,3224,2022
38,3163,2022
53,3140,2022
42,2962,2022
15,2747,2022
73,2691,2022
77,2616,2022
31,2609,2022
35,2531,2022
16,2362,2022
33,2267,2022
40,2061,2022
14,1958,2022
58,1951,2022
41,1929,2022
70,1841,2022
63,1809,2022
21,1808,2022
4,1801,2022
56,1768,2022
51,1640,2022
39,1618,2022
75,1606,2022
76,1523,2022
65,1469,2022
60,1411,2022
17,1411,2022
48,1231,2022
20,1195,2022
5,1176,2022
54,1155,2022
10,1140,2022
45,1081,2022
34,1063,2022
52,1058,2022
11,961,2022
13,917,2022
64,912,2022
57,905,2022
50,887,2022
72,825,2022
59,784,2022
62,782,2022
36,689,2022
18,611,2022
37,587,2022
55,567,2022
12,556,2022
74,493,2022
47,300,2022
9,274,2022
